C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.512278	0.247791	-1.431929	1.149703	-0.971062	-0.592142	-0.256438	1.181788	-1.238774	1.339925	0.510158	0.236116	-1.493545	1.151134	-1.224294	-0.545792	-0.228448	1.141595	-1.362751	1.081823	0.048741	0.148970	-0.863446	-0.403164	2.549703	-0.392877	-0.056387	-0.791311	1.162034	1.560062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048544	-0.133841	-2.634895	0.033131	-0.168639	0.541220	1.064142	1.553909	9.017468	1.000000	0.000000	0.000000	0.000000	
0.518254	0.229558	-1.411068	1.193250	-0.903448	-0.575965	-0.274212	1.222774	-1.237120	1.413707	0.510637	0.237432	-1.500596	1.151005	-1.180608	-0.551853	-0.229889	1.138673	-1.342413	1.114552	0.053729	-0.022326	-0.170096	0.643652	3.741113	-0.318458	-0.099859	0.172122	2.206493	3.788714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047100	-0.136526	-2.628989	-0.168170	-0.147082	0.176928	1.415984	-0.060010	9.248469	1.000000	0.000000	0.000000	0.000000	
0.527266	0.222738	-1.393053	1.215983	-0.874981	-0.548424	-0.284199	1.238078	-1.256998	1.436425	0.511532	0.236669	-1.499874	1.161763	-1.137508	-0.554204	-0.231090	1.139712	-1.311010	1.170268	0.075166	-0.208121	0.398257	1.240371	4.526774	0.076333	-0.126307	0.683732	2.314429	4.353563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044578	-0.138004	-2.628141	-0.147038	0.055109	-0.169813	3.048026	-0.912334	9.989448	1.000000	0.000000	0.000000	0.000000	
0.518622	0.232476	-1.399223	1.204288	-0.979707	-0.519841	-0.279059	1.216699	-1.295474	1.379065	0.512899	0.233601	-1.492096	1.180612	-1.070558	-0.546846	-0.233487	1.153806	-1.279333	1.230266	0.011006	-0.237169	0.978537	1.366346	3.607306	0.796290	-0.249926	0.808175	1.456304	3.830769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044228	-0.136974	-2.631370	0.105797	0.080994	-0.302103	2.053591	-0.966376	10.868917	1.000000	0.000000	0.000000	0.000000	
0.497490	0.245962	-1.441777	1.151122	-1.166198	-0.490019	-0.255217	1.148463	-1.353108	1.227987	0.513269	0.231606	-1.477479	1.195165	-1.032183	-0.535294	-0.236729	1.163023	-1.262819	1.274036	0.011570	-0.067919	0.830677	0.604245	1.247097	1.185843	-0.199474	0.321602	0.239850	2.082528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.045987	-0.136527	-2.635543	0.054863	-0.029936	-0.256358	1.603217	-0.053277	10.826112	1.000000	0.000000	0.000000	0.000000	
0.482543	0.242577	-1.495203	1.094424	-1.345450	-0.471249	-0.217842	1.050629	-1.411523	1.056640	0.512035	0.231490	-1.469224	1.194926	-1.032408	-0.517983	-0.238799	1.162855	-1.263418	1.292314	-0.169835	0.072306	0.069109	-0.822453	-2.084228	1.004951	-0.043212	-0.711132	-0.858892	-0.835147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046000	-0.137130	-2.639441	-0.126804	-0.055940	-0.276660	1.888529	-0.735204	9.495543	1.000000	0.000000	0.000000	0.000000	
0.487174	0.224366	-1.498430	1.086529	-1.355605	-0.473208	-0.209050	1.035310	-1.394609	0.947749	0.509776	0.232557	-1.468881	1.180628	-1.065653	-0.506984	-0.238462	1.155236	-1.282513	1.277261	-0.191465	0.049106	-0.938780	-1.802634	-4.936875	0.780973	0.201567	-2.189320	-2.127325	-3.318404	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044598	-0.137703	-2.643769	-0.124440	-0.026334	-0.265467	1.887572	-0.200305	8.553539	1.000000	0.000000	0.000000	0.000000	
0.500439	0.212748	-1.469785	1.118801	-1.236372	-0.482945	-0.239631	1.069721	-1.338662	1.007685	0.508598	0.232504	-1.478046	1.163350	-1.131796	-0.498386	-0.235067	1.130908	-1.316309	1.214563	0.019239	-0.053250	-0.652219	-1.352780	-4.203167	0.259558	0.295838	-1.674109	-2.173906	-4.554296	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043515	-0.137976	-2.647058	-0.033770	0.017498	-0.151587	1.516094	0.686267	8.795573	1.000000	0.000000	0.000000	0.000000	
0.511262	0.233595	-1.454416	1.127689	-1.124021	-0.507576	-0.256450	1.110645	-1.295323	1.147300	0.509137	0.231734	-1.482181	1.143706	-1.179678	-0.496231	-0.233087	1.113538	-1.336929	1.163395	0.047289	-0.144910	0.095301	-0.637785	-1.331111	0.022466	-0.006476	-0.453561	-0.960682	-3.243646	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043356	-0.137960	-2.647439	0.110018	-0.072542	0.142281	1.186307	-0.317013	9.792226	1.000000	0.000000	0.000000	0.000000	
0.526240	0.242505	-1.433486	1.157620	-1.010774	-0.538930	-0.267751	1.157789	-1.257765	1.281847	0.509948	0.230085	-1.481118	1.138057	-1.188382	-0.497375	-0.234113	1.110961	-1.339478	1.131133	0.025667	0.000631	0.100261	-0.014924	0.948675	-0.098953	-0.149539	0.062823	0.664672	-0.244103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.045227	-0.139133	-2.644659	0.186929	-0.001538	0.253573	2.887190	0.880278	9.810085	1.000000	0.000000	0.000000	0.000000	
0.538987	0.232041	-1.408867	1.196010	-0.913052	-0.546454	-0.279899	1.191429	-1.235172	1.339516	0.511007	0.230095	-1.481026	1.140901	-1.169742	-0.500681	-0.236281	1.113281	-1.325812	1.139051	0.103766	0.019838	0.135653	0.672007	2.788864	-0.428651	-0.212700	0.962442	1.245963	2.240361	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047006	-0.137631	-2.641544	0.092282	0.265725	0.152759	1.410085	0.454899	9.301652	1.000000	0.000000	0.000000	0.000000	
0.540682	0.215576	-1.386081	1.214966	-0.879847	-0.527578	-0.290364	1.229691	-1.241042	1.402348	0.514006	0.229984	-1.477785	1.153757	-1.122273	-0.504275	-0.239517	1.128527	-1.300686	1.168770	0.167410	-0.055014	0.470707	1.194352	3.705706	-0.098699	-0.267871	0.937246	1.862433	2.827302	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047501	-0.134666	-2.640470	-0.058756	0.089395	-0.046030	0.373919	0.924633	9.424614	1.000000	0.000000	0.000000	0.000000	
0.532913	0.213557	-1.370019	1.219101	-0.951251	-0.501048	-0.293523	1.241921	-1.252936	1.443136	0.516399	0.228273	-1.471878	1.172031	-1.070201	-0.506423	-0.242136	1.139380	-1.278383	1.216759	0.065596	-0.246286	0.724059	1.232628	3.608950	-0.009870	-0.215227	1.311606	1.596055	3.189595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046448	-0.133164	-2.642310	-0.123972	0.125849	-0.261360	1.830809	0.200182	9.938327	1.000000	0.000000	0.000000	0.000000	
0.517515	0.226392	-1.382045	1.195157	-1.095849	-0.479444	-0.281510	1.216165	-1.285293	1.351676	0.516611	0.224886	-1.461948	1.191414	-1.033687	-0.502055	-0.245414	1.158150	-1.256595	1.263580	-0.024847	-0.232843	0.623768	1.016609	1.812582	0.550375	-0.227411	1.115237	0.958731	3.306085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046343	-0.131130	-2.645566	0.129938	0.090641	-0.192915	0.987300	-0.404123	10.294732	1.000000	0.000000	0.000000	0.000000	
